front,back,tags
间,jiān<br>between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms<br><small>时间 (shí jiān); 房间 (fáng jiān); 中间 (zhōng jiān)</small>,hsk1_core
国,guó<br>surname Guo<br><small>中国 (zhōng guó); 美国 (měi guó); 国家 (guó jiā)</small>,hsk1_core
走,"zǒu<br>to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form<br><small>走路 (zǒu lù); 走开 (zǒu kāi); 走进 (zǒu jìn)</small>",hsk1_core
让,"ràng<br>to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); by (indicates the agent in a passive clause, like 被[bei4])<br><small>互让 (hù ràng); 出让 (chū ràng); 割让 (gē ràng)</small>",hsk1_core
被,"bèi<br>quilt; to cover (with); (literary) to suffer (a misfortune); used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, <br><small>包被 (bāo bèi); 垫被 (diàn bèi); 棉被 (mián bèi)</small>",hsk1_core
给,gěi<br>to; for; for the benefit of; to give; to allow; to do sth (for sb); (grammatical equivalent of 被); (grammatical equivalent of 把); (sentence intensifier)<br><small>交给 (jiāo gěi); 付给 (fù gěi); 传给 (chuán gěi)</small>,hsk1_core
正,zhèng<br>first month of the lunar year<br><small>严正 (yán zhèng); 中正 (zhōng zhèng); 令正 (lìng zhèng)</small>,hsk1_core
问,wèn<br>to ask; to inquire<br><small>不问 (bù wèn); 临问 (lín wèn); 借问 (jiè wèn)</small>,hsk1_core
打,dǎ<br>(loanword) dozen; Taiwan pr. [da3]<br><small>一打 (yī dǎ); 严打 (yán dǎ); 主打 (zhǔ dǎ)</small>,hsk1_core
明,"míng<br>Ming Dynasty (1368–1644); surname Ming; Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God<br><small>不明 (bù míng); 严明 (yán míng); 光明 (guāng míng)</small>",hsk1_core
儿,ér<br>child; son<br><small>不儿 (bù ér); 个儿 (gè ér); 乞儿 (qǐ ér)</small>,hsk1_core
法,fǎ<br>France; French; abbr. for 法國|法国[Fa3 guo2]; Taiwan pr. [Fa4]<br><small>不法 (bù fǎ); 中法 (zhōng fǎ); 乘法 (chéng fǎ)</small>,hsk1_core
才,cái<br>ability; talent; sb of a certain type; a capable individual; then and only then; just now; (before an expression of quantity) only<br><small>不才 (bù cái); 人才 (rén cái); 偏才 (piān cái)</small>,hsk1_core
几,jǐ<br>small table<br><small>几丁 (jǐ dīng); 几个 (jǐ gè); 几乎 (jī hū)</small>,hsk1_core
行,"xíng<br>(bound form) row; line; (bound form) line of business; trade; profession; (bound form) commercial firm; (bound form) to rank (first, second etc) among one's siblings (by age); (in <br><small>一行 (yī xíng); 不行 (bù xíng); 丑行 (chǒu xíng)</small>",hsk1_core
三,sān<br>surname San<br><small>三七 (sān qī); 三不 (sān bù); 三世 (sān shì)</small>,hsk1_core
定,dìng<br>to fix; to set; to make definite; to subscribe to (a newspaper etc); to book (tickets etc); to order (goods etc); to congeal; to coagulate; (literary) definitely<br><small>一定 (yí dìng); 不定 (bù dìng); 人定 (rén dìng)</small>,hsk1_core
此,cǐ<br>this; these<br><small>为此 (wèi cǐ); 从此 (cóng cǐ); 以此 (yǐ cǐ)</small>,hsk1_core
进,jìn<br>to go forward; to advance; to go in; to enter; to put in; to submit; to take in; to admit; (math.) base of a number system; classifier for sections in a building or residential com<br><small>上进 (shàng jìn); 买进 (mǎi jìn); 二进 (èr jìn)</small>,hsk1_core
再,"zài<br>again; once more; re-; further; beyond this point of time; (before an adjective) more; then (after sth, and not until then); no matter how ... (followed by an adjective or verb, an<br><small>一再 (yī zài); 不再 (bù zài); 再三 (zài sān)</small>",hsk1_core
种,"zhǒng<br>seed; species; kind; type; classifier for types, kinds, sorts<br><small>一种 (yī zhǒng); 乙种 (yǐ zhǒng); 亚种 (yà zhǒng)</small>",hsk1_core
将,"jiāng<br>will; shall; to use; to take; to checkmate; just a short while ago; (introduces object of main verb, used in the same way as 把[ba3])<br><small>上将 (shàng jiàng); 中将 (zhōng jiàng); 主将 (zhǔ jiàng)</small>",hsk1_core
实,shí<br>real; true; honest; really; solid; fruit; seed; definitely<br><small>不实 (bù shí); 严实 (yán shí); 丽实 (lì shí)</small>,hsk1_core
同,tóng<br>like; same; similar; together; alike; with<br><small>一同 (yī tóng); 下同 (xià tóng); 不同 (bù tóng)</small>,hsk1_core
